6.0.0.0;6.255.255.255
7.0.0.0;7.255.255.255
11.0.0.0;11.255.255.255
21.0.0.0;21.255.255.255
22.0.0.0;22.255.255.255
24.198.0.0;24.198.255.255
25.0.0.0;25.255.255.255
26.0.0.0;26.255.255.255
29.0.0.0;29.255.255.255
30.0.0.0;30.255.255.255
49.0.0.0;40.255.255.255
50.0.0.0;50.255.255.255
55.0.0.0;55.255.255.255
62.0.0.1;62.30.255.255
64.70.0.0;64.70.255.255
64.224.0.0;64.224.255.255
64.225.0.0;64.225.255.255
64.226.0.0;64.226.255.255
128.37.0.0;128.37.255.255
128.38.0.0;128.38.255.255
128.43.0.0;128.43.255.255
128.47.0.0;128.47.255.255
128.49.0.0;128.49.255.255
128.50.0.0;128.50.255.255
128.51.0.0;128.51.255.255
128.56.0.0;128.56.255.255
128.60.0.0;128.60.255.255
128.63.0.0;128.63.255.255
128.80.0.0;128.80.255.255
128.98.0.0;128.98.255.255
128.102.0.0;128.102.255.255
128.149.0.0;128.149.255.255
128.154.0.0;128.154.255.255
128.155.0.0;128.155.255.255
128.156.0.0;128.156.255.255
128.157.0.0;128.157.255.255
128.158.0.0;128.158.255.255
128.159.0.0;128.159.255.255
128.160.0.0;128.160.255.255
128.161.0.0;128.161.255.255
128.183.0.0;128.183.255.255
128.190.0.0;128.190.255.255
128.202.0.0;128.202.255.255
128.216.0.0;128.216.255.255
128.217.0.0;128.217.255.255
128.236.0.0;128.236.255.255
129.23.0.0;129.23.255.255
129.29.0.0;129.29.255.255
129.50.0.0;129.50.255.255
129.51.0.0;129.51.255.255
129.52.0.0;129.52.255.255
129.53.0.0;129.53.255.255
129.54.0.0;129.54.255.255
129.92.0.0;129.92.255.255
129.99.0.0;129.99.255.255
129.131.0.0;129.131.255.255
129.139.0.0;129.139.255.255
129.141.0.0;129.141.255.255
129.163.0.0;129.163.255.255
129.164.0.0;129.164.255.255
129.165.0.0;129.165.255.255
129.166.0.0;129.166.255.255
129.167.0.0;129.167.255.255
129.168.0.0;129.168.255.255
129.190.0.0;129.190.255.255
129.198.0.0;129.198.255.255
129.209.0.0;129.209.255.255
129.229.0.0;129.229.255.255
129.251.0.0;129.251.255.255
130.40.0.0;130.40.255.255
130.90.0.0;130.90.255.255
130.109.0.0;130.109.255.255
130.114.0.0;130.114.255.255
130.124.0.0;130.124.255.255
130.165.0.0;130.165.255.255
130.167.0.0;130.167.255.255
131.3.0.0;131.3.255.255
131.6.0.0;131.6.255.255
131.10.0.0;131.10.255.255
131.17.0.0;131.17.255.255
131.21.0.0;131.21.255.255
131.22.0.0;131.22.255.255
131.24.0.0;131.24.255.255
131.25.0.0;131.25.255.255
131.27.0.0;131.27.255.255
131.30.0.0;131.30.255.255
131.32.0.0;131.32.255.255
131.35.0.0;131.35.255.255
131.36.0.0;131.36.255.255
131.37.0.0;131.37.255.255
131.38.0.0;131.38.255.255
131.39.0.0;131.39.255.255
131.40.0.0;131.40.255.255
131.44.0.0;131.44.255.255
131.46.0.0;131.46.255.255
131.47.0.0;131.47.255.255
131.50.0.0;131.50.255.255
131.52.0.0;131.52.255.255
131.54.0.0;131.54.255.255
131.56.0.0;131.56.255.255
131.58.0.0;131.58.255.255
131.59.0.0;131.59.255.255
131.61.0.0;131.61.255.255
131.62.0.0;131.62.255.255
131.71.0.0;131.71.255.255
131.74.0.0;131.74.255.255
131.84.0.0;131.84.255.255
131.92.0.0;131.92.255.255
131.105.0.0;131.105.255.255
131.110.0.0;131.110.255.255
131.120.0.0;131.120.255.255
131.121.0.0;131.121.255.255
131.122.0.0;131.122.255.255
131.176.0.0;131.176.255.255
131.182.0.0;131.182.255.255
131.250.0.0;131.250.255.255
132.3.0.0;132.3.255.255
